Type,FMQ,P,Ti,Y,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Ce_div_Ce_asterisk,Eu_div_Eu_asterisk,Th_div_U,U_div_Yb
1,-0.14,636.52,9.36,1265.96,2.18,0.12,12.18,0.12,1.41,2.66,0.41,19.94,7.88,106.08,42.13,205.1,42.39,378.35,71.44,11335.15,1.16,16.57,133.62,239.88,103.97,0.06,0.56,0.63
1,-2.57,1877.37,2.78,3974.44,3.76,0.04,3.68,0.06,0.91,4.12,0.12,37.86,19.47,303.6,129.88,685.24,150.49,1378.86,238.83,11768.36,2.88,81.87,246.35,1217.28,72.58,0.01,0.2,0.88
1,-1.73,1136.53,7.04,2195.31,1.95,0.07,4.8,0.08,0.98,3.25,0.36,27.52,12.12,177.46,72.86,369.6,80.24,716.5,132.19,12508.66,1.29,19.12,85.32,309.04,65.21,0.04,0.28,0.43
1,-3.32,1649.89,6.38,3314.32,n.a.,bdl,2.29,0.06,1.01,4.17,0.21,36.36,17.25,254.79,107.29,553.44,117.34,1048.49,197.66,11221.07,n.a.,31.47,103.8,487.63,#VALUE!,0.02,0.21,0.47
1,-1.16,1227.63,5.33,2572.6,n.a.,0.01,6.7,0.06,1.04,3.44,0.27,28.76,13.48,198.38,83.39,435.56,91.6,809.32,155.31,10905.72,n.a.,27.32,106.19,412.96,277.63,0.03,0.26,0.51
1,-3.73,1531.5,5.62,3027.94,n.a.,0.01,1.61,0.05,0.64,2.98,0.13,28.85,14.38,225.57,97.88,517.68,111.57,1001.2,189.58,11778.79,n.a.,28.19,65.74,440.21,88.75,0.01,0.15,0.44
1,-3.52,1818.5,6.35,3861.98,n.a.,bdl,2.16,0.06,1.1,5.49,0.23,45.87,21.4,302.37,128.23,637.07,131.71,1156.06,213.56,11398.79,n.a.,34.56,116.46,548.21,#VALUE!,0.01,0.21,0.47
2,-0.53,1188,14.4,1544,,0.03,17.1,0.2,2.3,4.9,4.8,42,25,174,45,149,32,261,55,11700,,,164,278,220.76,0.33,0.59,1.07
2,-1.98,1897,38.9,3098,,0.07,14.7,0.3,4.8,12,17.2,119,66,459,106,311,54,432,83,11900,,,228,404,101.44,0.46,0.56,0.94
2,-1.12,1077,23.4,1718,,0.03,17.5,0.1,2.2,4.5,6.2,48,32,247,62,187,37,315,61,12900,,,182,351,319.5,0.42,0.52,1.11
2,0.91,244,3.1,955,,0.19,16.6,0.2,3.7,5.2,1.8,25,11,100,32,129,27,251,51,13400,,,154,229,85.16,0.16,0.67,0.91
2,-2.07,3529,96.7,4420,,0.19,35.2,0.5,7.4,16.3,24.6,133,93,772,176,482,82,641,107,12800,,,909,1024,114.2,0.53,0.89,1.6
2,-1.11,1795,22.8,2379,,0.07,18.4,0.3,3.4,6.4,8.5,61,45,359,87,263,50,431,83,13400,,,207,393,126.97,0.43,0.53,0.91
2,-0.29,775,11.2,3093,,0.08,19.5,0.8,13.2,22.4,9.4,96,36,300,99,385,80,680,135,9300,,,334,350,77.08,0.2,0.95,0.51
2,0.73,209,4,690,,0.1,16.7,0.1,1.9,2.8,0.9,14,6,56,22,95,22,199,44,12000,,,121,218,167,0.14,0.56,1.1
2,0.08,417,4.3,584,,0.16,10.3,0.1,1.6,1.9,1.6,13,7,60,20,79,18,169,37,12900,,,76,163,81.43,0.32,0.47,0.96
2,-1.06,1316,19.9,1655,,0.06,16.1,0.2,2.5,4.8,6.5,50,33,256,62,183,32,275,52,13333,,,192,319,146.97,0.42,0.6,1.16
2,0.24,338,2.6,801,,0.02,11.9,0.1,1,2.4,0.8,14,6,62,24,109,25,250,54,14200,,,119,300,266.09,0.14,0.4,1.2
2,0.79,616,3.1,806,,0.23,14.9,0.9,8.3,7.8,4.1,22,9,84,28,108,23,213,45,13100,,,114,209,32.75,0.31,0.55,0.98
2,-0.1,784,8.7,1453,,0.08,18.4,0.4,5.8,7.9,4.5,43,21,166,48,170,34,307,63,13500,,,229,316,102.86,0.24,0.72,1.03
2,-0.19,718,8.2,1095,,0.22,14.7,0.9,7.5,6.6,5,30,16,136,38,135,29,258,53,12800,,,108,238,33.04,0.36,0.45,0.92
2,-0.2,618,5.6,854,,0.1,12.6,0.2,1.9,2.8,2.1,21,12,98,26,96,20,182,37,14500,,,145,259,89.1,0.27,0.56,1.42
2,-0.86,766,13.1,1066,,0.03,14.7,0.1,1.8,3.8,3.9,30,19,153,39,122,23,192,39,13100,,,244,320,268.38,0.37,0.76,1.67
2,0.37,234,1.7,323,,0.11,7.3,0.3,3.5,3.1,1.9,9,4,31,10,40,9,86,18,14500,,,52,147,40.19,0.36,0.35,1.71
2,-1.34,814,21.3,1419,,0.05,14.2,0.2,3.5,6,5.8,50,24,180,47,160,33,279,58,13700,,,185,321,142,0.33,0.58,1.15
2,-1.48,1829,34.1,2461,,0.08,19.6,0.3,3.2,6.8,7.8,69,44,342,83,250,48,386,73,11600,,,221,445,126.52,0.36,0.5,1.15
2,-0.74,673,10.9,1177,,0.04,13.9,0.1,1.3,3.2,3.1,30,17,139,38,126,28,234,48,12400,,,121,299,219.78,0.32,0.4,1.28
2,-1.91,4076,59.1,4261,,0.11,21.1,0.5,5.4,12.4,15.2,128,84,605,136,391,71,536,98,9900,,,276,493,89.97,0.38,0.56,0.92
2,-1.47,1504,20.6,1655,,0.04,13.3,0.3,3.4,5,5.1,52,28,190,45,137,28,225,44,12200,,,177,339,121.41,0.32,0.52,1.51
2,-0.34,683,9.1,1038,,0.02,16.8,0.1,1.8,3.4,2.8,25,16,136,37,126,24,217,44,13500,,,212,332,375.66,0.3,0.64,1.53
2,-0.32,813,11.1,1004,,0.06,16.7,0.2,2,3.3,2.4,25,15,126,36,125,25,225,48,12700,,,132,262,152.45,0.26,0.5,1.16
2,0.36,203,2.7,579,,0.01,9.4,0.1,1.1,2.4,0.5,12,4,48,17,79,17,173,38,13000,,,69,156,297.25,0.09,0.44,0.9
2,1.47,347,3.8,787,,0.06,23.3,0.3,3.7,5.2,2.8,20,7,72,26,106,24,236,49,11600,,,124,187,173.67,0.27,0.66,0.79
2,0.61,127.3,2.78,516.35,1,0.07,10.64,0.07,0.8,2.17,0.52,10.14,3.4,40.6,16.14,75,17.62,174.3,36.47,9780,0.54,,54.9,145.4,150.93,0.11,0.38,0.83
2,0.81,168.8,3.78,775.95,1.53,0.64,15.96,0.35,3.19,3.56,1,17.75,5.71,66.9,25.91,118.5,25.91,253.2,49.46,9420,0.6,,85.9,192.5,33.92,0.13,0.45,0.76
2,0.45,240,5.28,809.95,1.31,0.11,15.68,0.14,1.95,3.6,1.07,19.33,5.96,70.7,26.54,121.8,26.92,259.7,49.7,9270,0.51,,99.2,199.8,126.81,0.13,0.5,0.77
